optimized_file,page,section,title,creator,license,source_page,source_image,orientation,optimized_width,optimized_height,alt,raw_bytes,optimized_bytes,saving_pct
home-hero-chef-plating.webp,Home,Hero / premium chef-led visual,Chef plating food in a professional kitchen,Madeline Liu,Unsplash License,https://unsplash.com/photos/chef-plating-food-in-a-professional-kitchen-bXOHW6fKdPI,https://images.unsplash.com/photo-1761095596765-c8abe01d3aea?fit=max&fm=jpg&q=80&w=2400,portrait,1280,1920,Executive chef plating refined courses in a professional kitchen.,791514,81828,89.7
home-fine-dining-spread.webp,Home,Secondary hero / homepage supporting visual,Elegant Fine Dining Plated Gourmet Dishes,Szymon Shields,Pexels License,https://www.pexels.com/photo/elegant-fine-dining-plated-gourmet-dishes-30469688/,https://images.pexels.com/photos/30469688/pexels-photo-30469688.jpeg?cs=srgb&dl=pexels-szymon-shields-1503561-30469688.jpg&fm=jpg,landscape,1920,1280,Elegant plated gourmet dishes arranged for a premium dining presentation.,1308306,119994,90.8
about-chef-closeup-plating.webp,About,Main image,Close-up of Chef Putting a Meal on a Plate,Paolo Botio,Pexels License,https://www.pexels.com/photo/close-up-of-chef-putting-a-meal-on-a-plate-12258207/,https://images.pexels.com/photos/12258207/pexels-photo-12258207.png?cs=srgb&dl=pexels-paolino96-12258207.jpg&fm=jpg,portrait,1282,1920,Chef finishing a plated dish with precise garnish in a professional kitchen.,1944946,91426,95.3
catering-wedding-table.webp,Catering,Weddings & celebrations,Elegant Outdoor Wedding Table Setup in Summer,Amar Preciado,Pexels License,https://www.pexels.com/photo/elegant-outdoor-wedding-table-setup-in-summer-31985705/,https://images.pexels.com/photos/31985705/pexels-photo-31985705.jpeg?cs=srgb&dl=pexels-amar-31985705.jpg&fm=jpg,landscape,1920,1280,"Elegant outdoor wedding table with flowers, candles and premium styling.",1724214,352324,79.6
catering-family-buffet.webp,Catering,Family events / buffet,Elegant Buffet Table Display for Special Events,Newman Photographs,Pexels License,https://www.pexels.com/photo/elegant-buffet-table-display-for-special-events-31970807/,https://images.pexels.com/photos/31970807/pexels-photo-31970807.jpeg?cs=srgb&dl=pexels-newman-photographs-234743505-31970807.jpg&fm=jpg,landscape,1920,1280,Elegant catered buffet display with appetizers and grazing elements for a celebration.,2073606,250804,87.9
catering-corporate-refreshments.webp,Catering,Corporate events,Modern Hotel Buffet with Refreshment Station,Quang Nguyen Vinh,Pexels License,https://www.pexels.com/photo/modern-hotel-buffet-with-refreshment-station-28999498/,https://images.pexels.com/photos/28999498/pexels-photo-28999498.jpeg?cs=srgb&dl=pexels-quang-nguyen-vinh-222549-28999498.jpg&fm=jpg,landscape,1920,1280,Professional buffet and refreshment station for a conference or corporate event.,2327999,254752,89.1
private-chef-nikkei.webp,Private Chef,Cuisine style / Nikkei,Gourmet Peruvian-Japanese Fusion Dish Presentation,DΛVΞ GΛRCIΛ,Pexels License,https://www.pexels.com/photo/gourmet-peruvian-japanese-fusion-dish-presentation-33432680/,https://images.pexels.com/photos/33432680/pexels-photo-33432680.jpeg?cs=srgb&dl=pexels-davegarcia-33432680.jpg&fm=jpg,landscape,1920,1280,Nikkei-inspired plated course with cocktail and refined Peruvian-Japanese styling.,1779727,138924,92.2
private-chef-japanese.webp,Private Chef,Cuisine style / Japanese,Gourmet Sushi Plate on Artistic Ceramic Dish,Sylwester Ficek,Pexels License,https://www.pexels.com/photo/gourmet-sushi-plate-on-artistic-ceramic-dish-36123910/,https://images.pexels.com/photos/36123910/pexels-photo-36123910.jpeg?cs=srgb&dl=pexels-sylwester-ficek-154797634-36123910.jpg&fm=jpg,portrait,1488,1920,Artistic Japanese-inspired plated bite on a ceramic dish.,481225,74898,84.4
private-chef-mexican.webp,Private Chef,Cuisine style / Mexican,Delicious Mexican Tacos Platter in Mexico City,Leonardo Aquino,Pexels License,https://www.pexels.com/photo/delicious-mexican-tacos-platter-in-mexico-city-28959271/,https://images.pexels.com/photos/28959271/pexels-photo-28959271.jpeg?cs=srgb&dl=pexels-leonardo-aquino-246345118-28959271.jpg&fm=jpg,square,1920,1920,Colorful assortment of Mexican tacos for a festive themed menu.,420102,300462,28.5
private-chef-asian-fusion.webp,Private Chef / Menus,Cuisine style / Asian Fusion,Food Served on the Plates,Merkhat Amangeldinov,Pexels License,https://www.pexels.com/photo/food-served-on-the-plates-18805698/,https://images.pexels.com/photos/18805698/pexels-photo-18805698.jpeg?cs=srgb&dl=pexels-merkhat-amangeldinov-2301120-18805698.jpg&fm=jpg,portrait,1280,1920,A spread of plated dishes suitable for an Asian fusion menu section.,2135048,312814,85.3
venues-villa-ocean-view.webp,Home / Contact / Venues,Private villas / premium hospitality,Terrace of modern villa overlooking ocean,Ben Mack,Pexels License,https://www.pexels.com/photo/terrace-of-modern-villa-overlooking-ocean-6775268/,https://images.pexels.com/photos/6775268/pexels-photo-6775268.jpeg?cs=srgb&dl=pexels-ben-mack-6775268.jpg&fm=jpg,landscape,1920,1222,Ocean-view villa terrace suitable for an intimate private dining service.,605089,231054,61.8
venues-yacht-table.webp,Home / Venues,Luxury yachts,A Yacht Table Setting on the Sea,Furkan Tumer,Pexels License,https://www.pexels.com/photo/a-yacht-table-setting-on-the-sea-7766408/,https://images.pexels.com/photos/7766408/pexels-photo-7766408.jpeg?cs=srgb&dl=pexels-furkan-tumer-1560109-7766408.jpg&fm=jpg,landscape,1920,1280,Elegant dining setup on a yacht with sea and mountain views.,2664064,358420,86.5
